ImageNumber,ObjectNumber,Metadata_Channel,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_compound,Metadata_concentration,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_posNum,Metadata_posPath,Metadata_timeNum,Metadata_wellNum,Metadata_wellNum,Metadata_wellPath,AreaShape_Center_X,AreaShape_Center_Y,Math_area_micronsq,TrackObjects_Label_4
281,1,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,202.0,2.0,5081.656524,1.0
281,2,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,225.0,5.0,4433.994418,2.0
281,3,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,304.0,17.0,13850.005036,3.0
281,4,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,477.0,34.0,548.021782,4.0
281,5,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,452.0,37.0,1594.245184,5.0
281,6,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,163.0,41.0,15344.609896000002,6.0
281,7,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,507.0,64.0,1170.773807,7.0
281,8,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,403.0,71.0,8818.168674,8.0
281,9,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,295.0,73.0,3188.490368,9.0
281,10,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0061--fsk--0.05/P001--fsk--0.05/demoplate_01--fsk--0.05--W0061--P001--T0000--C00.tif,0,0,fsk,0.05,demoplate_01--fsk--0.05--W0061--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk--0.05,0000,0061,0061,W0061--fsk--0.05,281.0,77.0,12953.24212,10.0
